# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
246.0     -11.7     15.69     15.2      -0.24     160.0     Culgoora   
349.99    -27.47    15.65     15.65     -0.8      182.44    FHD        
9.03      18.6      15.64     13.9      -0.9      160.0     Culgoora   
136.65    16.78     15.58     13.7      -0.98     160.0     Culgoora   
247.02    27.67     15.57     14.2      -0.7      160.0     Culgoora   
178.55    29.26     15.51     14.3      -0.62     160.0     Culgoora   
214.17    -21.78    15.46     14.4      -0.54     160.0     Culgoora   
38.9      29.15     15.46     14.4      -0.54     160.0     Culgoora   
40.93     -51.2     15.43     15.43     0.0       180.0     MWACS      
331.52    29.49     15.41     13.1      -1.24     160.0     Culgoora   
99.13     -20.7     15.37     15.37     0.0       180.0     MWACS      
21.7      33.21     15.37     14.3      -0.55     160.0     Culgoora   
144.5     -29.21    15.33     13.8      -0.8      160.0     Culgoora   
348.12    9.31      15.29     13.5      -0.95     160.0     Culgoora   
63.1      -0.97     15.29     13.5      -0.95     160.0     Culgoora   
169.85    -3.05     15.26     15.1      -0.08     160.0     Culgoora   
328.53    -51.83    15.23     15.06     -0.84     180.0     MWACS      
244.44    32.41     15.21     13.8      -0.74     160.0     Culgoora   
223.76    -4.35     15.11     13.3      -0.97     160.0     Culgoora   
57.45     5.85      15.03     13.6      -0.76     160.0     Culgoora   
274.73    -15.02    15.03     13.6      -0.76     160.0     Culgoora   
348.03    18.76     15.01     13.2      -0.98     160.0     Culgoora   
35.49     8.45      14.99     13.3      -0.91     160.0     Culgoora   
232.85    35.57     14.95     13.8      -0.61     160.0     Culgoora   
322.28    7.51      14.89     13.2      -0.92     160.0     Culgoora   
147.47    -25.19    14.87     13.3      -0.85     160.0     Culgoora   
154.93    -42.42    14.84     12.9      -1.07     160.0     Culgoora   
19.23     -20.87    14.84     14.83     -0.03     180.0     MWACS      
325.89    -43.21    14.79     14.61     -0.93     180.0     MWACS      
217.13    -1.41     14.75     13.9      -0.45     160.0     Culgoora   
96.7      -54.54    14.7      14.48     -1.12     180.0     MWACS      
326.85    15.34     14.65     12.7      -1.09     160.0     Culgoora   
184.64    -10.32    14.65     12.7      -1.09     160.0     Culgoora   
193.56    27.62     14.65     12.5      -1.21     160.0     Culgoora   
44.07     -23.42    14.62     14.43     -0.98     180.0     MWACS      
336.76    -52.55    14.56     14.39     -0.86     180.0     MWACS      
270.41    13.85     14.51     13.8      -0.38     160.0     Culgoora   
213.45    -6.01     14.5      13.3      -0.66     160.0     Culgoora   
16.34     -45.09    14.49     14.26     -1.19     180.0     MWACS      
